tokenID,name,description,file_name,attributes[Pealce],attributes[Realm],attributes[Origin],attributes[Vision],attributes[Tone],attributes[Flow],Fire,attributes[Artifact],attributes[Tier]
1,AH!rchives #1,[ˈäl̪t̪er] ヒーロー,1.png,,Rose,Ogs,Ye,Bored,,,!Chimp,1
2,AH!rchives #2,[ˈäl̪t̪er] ヒーロー,2.png,,,First Press,,,,,,3
3,AH!rchives #3,[ˈäl̪t̪er] ヒーロー,3.png,,Blū,Metal Fingers,Watcher,!AH,Clouds,Mellow,,1
4,AH!rchives #4,[ˈäl̪t̪er] ヒーロー,4.png,,Rain,Maze,Ye,All Caps,,,,1
5,AH!rchives #5,[ˈäl̪t̪er] ヒーロー,5.png,,Cream,All Star,Poska,Stoik,Tee,Bulls,,1
6,AH!rchives #6,[ˈäl̪t̪er] ヒーロー,6.png,,Runner,Seed,Ye,Yamé,Capsule,Bulls,,1
7,AH!rchives #7,[ˈäl̪t̪er] ヒーロー,7.png,,,First Press,,,,,,3
8,AH!rchives #8,[ˈäl̪t̪er] ヒーロー,8.png,,Rose,Seed,Ye,Stoik,Prospect,Onsen,,1
9,AH!rchives #9,[ˈäl̪t̪er] ヒーロー,9.png,,Runner,Seed,Hidden,Stoik,Swat,Golf,,1
10,AH!rchives #10,[ˈäl̪t̪er] ヒーロー,10.png,Double Dragon,Rain,Nebu,Tribe,All Caps,,Pega,,1
11,AH!rchives #11,[ˈäl̪t̪er] ヒーロー,11.png,,Doré,Geedorah,Stare,All Caps,Ronin,,White Noise,1
12,AH!rchives #12,[ˈäl̪t̪er] ヒーロー,12.png,,Runner,Redbone,The Slayer,All Caps,Hoodie,Golf,,2
13,AH!rchives #13,[ˈäl̪t̪er] ヒーロー,13.png,,Astro,Redbone,The Slayer,Yamé,Illest,,Supervillain,2
14,AH!rchives #14,[ˈäl̪t̪er] ヒーロー,14.png,,Doré,Golden,Ye,All Caps,,,,1
15,AH!rchives #15,[ˈäl̪t̪er] ヒーロー,15.png,Figaro,Rain,Geedorah,The Slayer,!AH,,,,1
16,AH!rchives #16,[ˈäl̪t̪er] ヒーロー,16.png,Barz,Astro,Seed,Ye,Stoik,,Halo,,1
